Location,Crop Type,Season,Rainfall (mm),Temperature (°C),Soil pH,Nitrogen (kg/ha),Phosphorus (kg/ha),Potassium (kg/ha),Yield (tonnes/ha)
Assam,Maize,Kharif     ,1808.2,22.72,5.55,72.2,45.39,51.37,0.608695652
Assam,Potato,Whole Year ,1808.2,22.72,5.72,71.25,42.86,62.39,7.350869565
Assam,Rice,Autumn     ,1808.2,22.72,6.92,85.54,53.87,57.35,1.120434783
Assam,Rice,Summer     ,1808.2,22.72,5.89,85.2,42.75,56.95,1.806521739
Assam,Rice,Winter     ,1808.2,22.72,5.98,68.94,41.54,62.76,1.600434783
Assam,Sugarcane,Whole Year ,1808.2,22.72,7.4,87.78,42.8,53.54,37.2173913
Assam,Wheat,Rabi       ,1808.2,22.72,7.1,75.53,49.98,63.1,1.185217391
Goa,Rice,Kharif     ,1335.38,27.24,5.88,69.52,44.21,55.04,2.41
Goa,Rice,Rabi       ,1335.38,27.24,7.18,78.97,53.4,56.8,2.85
Goa,Sugarcane,Whole Year ,1335.38,27.24,5.98,81.01,47.67,58.47,58.56
Karnataka,Maize,Kharif     ,919.93,23.37,5.77,71.68,40.9,51.04,2.663333333
Karnataka,Maize,Rabi       ,919.93,23.37,6.54,80.43,47.97,50.2,2.279
Karnataka,Maize,Summer     ,919.93,23.37,6.98,84.26,43.52,48.32,2.6265
Karnataka,Potato,Whole Year ,919.93,23.37,5.93,79.57,52.72,62.23,12.815
Karnataka,Rice,Kharif     ,919.93,23.37,6.35,84.72,51.09,55.29,2.154814815
Karnataka,Rice,Rabi       ,919.93,23.37,6.37,81.65,51.69,60.43,1.840714286
Karnataka,Rice,Summer     ,919.93,23.37,5.77,69.66,53.79,54.73,2.4368
Karnataka,Sugarcane,Whole Year ,919.93,23.37,6.45,85.04,45.85,48.55,84.00269231
Karnataka,Wheat,Rabi       ,919.93,23.37,5.56,78.55,54.29,54.06,0.777333333
Kerala,Rice,Autumn     ,2171.67,26.63,6.36,77.09,51.73,47.21,1.886923077
Kerala,Rice,Summer     ,2171.67,26.63,7.26,75.97,52.36,62.93,2.151428571
Kerala,Rice,Winter     ,2171.67,26.63,6.54,82.57,51.2,52.57,2.153571429
Kerala,Sugarcane,Whole Year ,2171.67,26.63,6.58,83.72,51.31,60.48,88.77583333
Meghalaya,Maize,Kharif     ,2427.05,17.85,7.06,75.11,52.54,52.61,1.471428571
Meghalaya,Potato,Whole Year ,2427.05,17.85,5.69,81.91,54.65,52.35,7.288571429
Meghalaya,Rice,Kharif     ,2427.05,17.85,6.56,71.95,47.43,48.62,1.751428571
Meghalaya,Sugarcane,Whole Year ,2427.05,17.85,5.86,74.8,53.33,48.65,2.278
Meghalaya,Wheat,Rabi       ,2427.05,17.85,6.3,88.94,44.2,62.19,1.455
Puducherry,Rice,Kharif     ,1021.13,28.23,6.0,82.08,53.35,55.96,2.415
Puducherry,Sugarcane,Whole Year ,1021.13,28.23,7.17,79.99,49.59,50.26,91.64
West Bengal,Maize,Kharif     ,1600.02,25.74,5.62,82.65,48.58,62.44,2.314285714
West Bengal,Potato,Whole Year ,1600.02,25.74,6.21,85.94,45.61,55.05,21.95444444
West Bengal,Rice,Autumn     ,1600.02,25.74,7.34,72.86,53.33,50.89,2.094705882
West Bengal,Rice,Summer     ,1600.02,25.74,7.24,75.48,54.11,61.35,2.788823529
West Bengal,Rice,Winter     ,1600.02,25.74,5.97,82.91,50.82,61.66,2.235294118
West Bengal,Sugarcane,Whole Year ,1600.02,25.74,7.31,73.76,41.78,63.1,79.67857143
West Bengal,Wheat,Rabi       ,1600.02,25.74,5.79,80.78,45.77,61.11,2.109444444
Andhra Pradesh,Maize,Kharif     ,768.22,28.54,5.96,70.92,47.41,54.61,1.491363636
Andhra Pradesh,Maize,Rabi       ,768.22,28.54,5.95,76.73,43.4,62.76,5.602272727
Andhra Pradesh,Potato,Whole Year ,768.22,28.54,6.27,83.43,49.77,57.03,6.946666667
Andhra Pradesh,Rice,Kharif     ,768.22,28.54,5.69,73.09,47.58,49.63,2.202727273
Andhra Pradesh,Rice,Rabi       ,768.22,28.54,6.78,86.23,52.25,52.84,2.533636364
Andhra Pradesh,Sugarcane,Whole Year ,768.22,28.54,5.87,84.13,51.74,51.15,69.35666667
Andhra Pradesh,Wheat,Rabi       ,768.22,28.54,6.74,82.64,50.3,61.84,1.09
Assam,Maize,Kharif     ,1852.95,22.58,6.69,68.78,44.16,53.49,0.606086957
Assam,Potato,Whole Year ,1852.95,22.58,6.5,80.45,41.01,54.87,7.566956522
Assam,Rice,Autumn     ,1852.95,22.58,6.47,65.78,41.72,59.0,1.076521739
Assam,Rice,Summer     ,1852.95,22.58,6.05,66.09,52.11,56.28,1.794347826
Assam,Rice,Winter     ,1852.95,22.58,5.75,73.56,53.86,51.8,1.545652174
Assam,Sugarcane,Whole Year ,1852.95,22.58,7.41,83.22,50.93,61.16,37.02130435
Assam,Wheat,Rabi       ,1852.95,22.58,6.6,78.1,46.79,60.82,1.152272727
Goa,Rice,Kharif     ,1481.74,27.57,5.58,79.27,53.37,60.45,2.67
Goa,Rice,Rabi       ,1481.74,27.57,6.52,76.25,48.11,56.09,2.72
Goa,Sugarcane,Whole Year ,1481.74,27.57,5.65,78.88,51.54,48.59,55.11
Kerala,Rice,Autumn     ,1520.73,27.05,7.06,72.14,53.72,56.07,2.130769231
Kerala,Rice,Summer     ,1520.73,27.05,6.86,83.23,40.97,48.54,2.212142857
Kerala,Rice,Winter     ,1520.73,27.05,5.87,73.14,54.45,49.89,2.123571429
Kerala,Sugarcane,Whole Year ,1520.73,27.05,5.94,78.06,40.55,57.22,88.46083333
Tamil Nadu,Maize,Kharif     ,1046.29,28.13,6.6,76.03,50.91,49.24,1.806956522
Tamil Nadu,Potato,Whole Year ,1046.29,28.13,5.94,84.66,49.08,62.25,18.3475
Tamil Nadu,Rice,Kharif     ,1046.29,28.13,5.86,86.15,48.15,54.26,2.884642857
Tamil Nadu,Sugarcane,Whole Year ,1046.29,28.13,6.79,73.84,39.92,48.79,89.04185185
West Bengal,Maize,Kharif     ,1391.99,25.82,7.3,89.0,40.68,59.83,1.895384615
West Bengal,Potato,Summer     ,1391.99,25.82,5.56,84.82,52.38,51.33,12.86
West Bengal,Potato,Winter     ,1391.99,25.82,5.7,82.96,41.54,51.05,20.73388889
West Bengal,Rice,Autumn     ,1391.99,25.82,5.66,65.12,44.11,53.31,2.092777778
West Bengal,Rice,Summer     ,1391.99,25.82,5.73,70.44,50.69,50.36,2.747777778
West Bengal,Rice,Winter     ,1391.99,25.82,5.66,78.75,52.46,56.38,2.221666667
West Bengal,Sugarcane,Whole Year ,1391.99,25.82,6.93,68.13,39.95,47.07,64.52933333
West Bengal,Wheat,Rabi       ,1391.99,25.82,6.45,76.17,45.2,60.95,1.992777778
Andhra Pradesh,Maize,Kharif     ,857.23,28.31,6.84,82.95,40.57,61.58,2.420909091
Andhra Pradesh,Maize,Rabi       ,857.23,28.31,6.85,80.15,51.94,55.79,5.081818182
Andhra Pradesh,Potato,Whole Year ,857.23,28.31,7.07,66.74,46.32,53.21,9.045
Andhra Pradesh,Rice,Kharif     ,857.23,28.31,5.87,73.34,52.92,49.1,2.670909091
Andhra Pradesh,Rice,Rabi       ,857.23,28.31,6.58,65.35,47.83,51.73,2.729090909
Andhra Pradesh,Sugarcane,Whole Year ,857.23,28.31,6.18,86.83,50.16,58.32,74.48380952
Andhra Pradesh,Wheat,Rabi       ,857.23,28.31,6.63,86.82,41.78,61.32,0.481818182
Assam,Maize,Kharif     ,2076.0,22.45,5.8,82.38,42.9,52.27,0.607391304
Assam,Potato,Whole Year ,2076.0,22.45,7.06,80.57,52.74,60.59,6.471304348
Assam,Rice,Autumn     ,2076.0,22.45,6.18,66.19,52.84,50.42,1.118695652
Assam,Rice,Summer     ,2076.0,22.45,6.25,79.25,49.74,54.63,1.493913043
Assam,Rice,Winter     ,2076.0,22.45,5.95,84.3,49.11,59.49,1.618695652
Assam,Sugarcane,Whole Year ,2076.0,22.45,6.3,66.74,46.9,49.41,37.43217391
Assam,Wheat,Rabi       ,2076.0,22.45,5.67,75.86,41.5,60.48,1.040909091
Goa,Rice,Kharif     ,1413.96,27.88,7.13,74.43,53.4,62.08,3.27
Goa,Rice,Rabi       ,1413.96,27.88,6.35,71.1,50.65,51.29,3.15
Goa,Sugarcane,Whole Year ,1413.96,27.88,6.96,74.75,51.52,53.69,47.61
Karnataka,Maize,Kharif     ,630.03,24.36,6.24,78.77,44.49,51.52,2.3356
Karnataka,Maize,Rabi       ,630.03,24.36,6.36,86.78,49.37,59.63,1.943478261
Karnataka,Maize,Summer     ,630.03,24.36,6.69,89.54,46.64,62.18,2.470909091
Karnataka,Potato,Whole Year ,630.03,24.36,7.3,73.65,45.52,48.45,9.008666667
Karnataka,Rice,Kharif     ,630.03,24.36,6.07,84.15,48.72,47.48,2.133333333
Karnataka,Rice,Rabi       ,630.03,24.36,7.37,64.82,53.8,62.2,2.892
Karnataka,Rice,Summer     ,630.03,24.36,6.62,80.19,47.48,62.37,3.8768
Karnataka,Sugarcane,Whole Year ,630.03,24.36,7.37,69.9,42.71,47.98,72.1276
Karnataka,Wheat,Rabi       ,630.03,24.36,7.42,87.84,49.96,62.54,0.516428571
Kerala,Rice,Autumn     ,1542.25,27.08,6.24,69.57,51.02,56.65,2.140769231
Kerala,Rice,Summer     ,1542.25,27.08,6.57,67.55,49.34,62.61,1.845
Kerala,Rice,Winter     ,1542.25,27.08,6.34,72.08,44.04,48.36,1.960714286
Kerala,Sugarcane,Whole Year ,1542.25,27.08,6.53,81.13,51.62,55.91,82.35
Meghalaya,Maize,Kharif     ,2608.08,17.73,6.03,75.84,47.97,49.9,1.528571429
Meghalaya,Potato,Whole Year ,2608.08,17.73,7.06,71.31,52.43,61.74,7.241428571
Meghalaya,Rice,Kharif     ,2608.08,17.73,6.88,80.09,47.84,48.35,1.798571429
Meghalaya,Sugarcane,Whole Year ,2608.08,17.73,7.18,82.05,41.27,60.27,2.346
Meghalaya,Wheat,Rabi       ,2608.08,17.73,7.14,70.94,47.97,48.68,1.49
Puducherry,Rice,Kharif     ,842.18,28.24,6.15,74.54,41.11,49.25,2.993333333
Puducherry,Sugarcane,Whole Year ,842.18,28.24,6.07,79.67,41.05,54.64,54.985
Tamil Nadu,Maize,Kharif     ,895.93,28.23,6.69,87.11,53.81,48.64,1.7856
Tamil Nadu,Potato,Whole Year ,895.93,28.23,6.58,80.91,42.19,57.09,17.054
Tamil Nadu,Rice,Kharif     ,895.93,28.23,6.15,84.03,44.52,57.11,2.728214286
Tamil Nadu,Sugarcane,Whole Year ,895.93,28.23,5.87,81.99,46.98,53.76,96.11384615
West Bengal,Maize,Kharif     ,1423.27,25.84,6.5,72.78,52.94,47.39,2.133333333
West Bengal,Potato,Whole Year ,1423.27,25.84,6.21,82.0,46.93,49.26,21.86777778
West Bengal,Rice,Autumn     ,1423.27,25.84,7.39,64.87,41.78,58.87,2.131666667
West Bengal,Rice,Summer     ,1423.27,25.84,5.62,77.49,51.22,54.45,2.879444444
West Bengal,Rice,Winter     ,1423.27,25.84,7.14,66.52,40.72,60.9,2.283333333
West Bengal,Sugarcane,Whole Year ,1423.27,25.84,6.06,77.07,48.49,52.08,74.46533333
West Bengal,Wheat,Rabi       ,1423.27,25.84,5.5,77.61,49.55,47.4,2.194444444
Karnataka,Maize,Kharif     ,994.53,23.16,6.49,82.82,53.77,47.53,3.0068
Karnataka,Maize,Rabi       ,994.53,23.16,6.02,77.61,47.23,48.93,2.84826087
Karnataka,Maize,Summer     ,994.53,23.16,7.49,81.29,42.96,50.39,3.007826087
Karnataka,Potato,Whole Year ,994.53,23.16,5.96,72.88,50.41,57.93,10.17875
Karnataka,Rice,Kharif     ,994.53,23.16,7.37,67.9,49.58,59.06,2.37
Karnataka,Rice,Rabi       ,994.53,23.16,5.66,69.44,47.55,60.53,3.388666667
Karnataka,Rice,Summer     ,994.53,23.16,6.25,67.34,47.73,58.03,4.251666667
Karnataka,Wheat,Rabi       ,994.53,23.16,5.78,78.06,45.46,55.57,0.845333333
Kerala,Rice,Autumn     ,2080.13,26.76,6.33,86.11,41.22,48.38,2.271538462
Kerala,Rice,Summer     ,2080.13,26.76,5.71,71.59,41.67,51.2,2.256923077
Kerala,Rice,Winter     ,2080.13,26.76,6.28,70.66,53.84,51.0,2.175714286
Kerala,Sugarcane,Whole Year ,2080.13,26.76,5.97,85.96,50.73,50.98,82.35153846
Meghalaya,Maize,Kharif     ,2896.44,17.53,5.79,88.5,54.03,49.57,1.465714286
Meghalaya,Potato,Whole Year ,2896.44,17.53,6.82,79.77,48.19,47.06,7.178571429
Meghalaya,Rice,Autumn     ,2896.44,17.53,5.74,78.81,47.62,56.26,1.492857143
Meghalaya,Rice,Summer     ,2896.44,17.53,6.45,79.58,49.25,54.18,2.078333333
Meghalaya,Rice,Winter     ,2896.44,17.53,7.09,74.94,42.98,60.45,1.792857143
Meghalaya,Sugarcane,Whole Year ,2896.44,17.53,6.14,87.74,46.51,56.51,2.264
Meghalaya,Wheat,Rabi       ,2896.44,17.53,5.55,74.23,42.62,62.19,1.156666667
Tamil Nadu,Maize,Kharif     ,1358.53,27.49,6.35,72.91,53.47,49.86,1.758846154
Tamil Nadu,Potato,Whole Year ,1358.53,27.49,6.58,71.33,44.37,47.67,16.0325
Tamil Nadu,Rice,Kharif     ,1358.53,27.49,7.02,84.64,50.12,58.44,3.015172414
